Code,Category,RQ,Study Count,Study Keys
1a,Data Selection,RQ1,15,2306_11644; 2312_02418; 2407_00434; 2407_05040; 2409_02326; 2410_18194; 2411_04905; 2503_17793; 2504_12687; 2506_03524; 2511_06307; Jiang2024seed; arxiv_2403_00046; arxiv_2507_02378; arxiv_2512_24570
1b,Data Quality,RQ1,17,2306_08568; 2306_11644; 2311_14904; 2312_02418; 2312_14187; 2409_02326; 2411_00005; 2411_04905; 2503_02951; 2503_17793; 2504_00019; 2505_02881; 2506_03524; 2509_07858; 2511_06307; arxiv_2512_24570; doi_10_1109_TCAD_2024_3483089
1d,Data Mixing,RQ1,1,2601_21115
2a,Efficient Pre-training,RQ2,4,2402_01035; 2503_17793; 2504_00019; 2504_12687
2b,Parameter-Efficient Fine-Tuning (PEFT),RQ2,10,2308_10462; 2401_00788; 2407_05040; 2412_16589; 2501_18657; 2504_14560; 2511_23321; arxiv_2304_05216; doi_10_1109_ASE56229_2023_00125; doi_10_1109_TCAD_2024_3483089
2c,Knowledge Distillation,RQ2,7,2310_18628; 2408_03680; 2509_07858; 2509_17489; arxiv_2312_05562; arxiv_2410_00558; doi_10_3390_sym17081325
2d,Curriculum Learning,RQ2,2,2408_03680; 2412_16589
2f,RL-based Training,RQ2,3,2501_01054; 2509_25243; 2602_17684
3a,Speculative Decoding,RQ3,3,2405_15208; 2411_11055; 2505_01572
3b,Early Exit,RQ3,5,2401_09964; 2407_20042; 2501_11006; 2602_05712; arxiv_2004_13651
3c,Non-Autoregressive Generation,RQ3,3,2204_09877; 2303_07457; 2510_18165
3d,Prompt Compression,RQ3,7,2410_22793; 2501_18657; 2509_12159; 2510_00446; 2601_09703; 2602_15843; He2025codepromptzip
3e,Context Pruning,RQ3,9,2402_14323; 2403_10059; 2406_10263; 2406_18294; 2407_00434; 2502_17139; 2508_05970; 2510_19644; 2601_23254
3f,KV Cache Optimization,RQ3,3,2407_03157; 2410_08391; 2411_06680
3g,Post-Training Quantization,RQ3,8,2303_05378; 2312_08583; 2410_14766; 2503_07103; 2512_23367; Giagnorio2025quantizing; arxiv_2505_14200; arxiv_2506_22776
3h,Model Pruning,RQ3,2,2309_14021; 2501_05248
3i,Model Routing,RQ3,11,2312_11511; 2405_15842; 2505_20182; 2506_10525; 2508_03258; 2511_23321; 2512_14048; 2601_20223; 2601_22132; 2603_04646; ieee_Rohilla2025graphmoe
3j,Adaptive Sampling,RQ3,9,2305_11860; 2410_22480; 2411_05010; 2501_01054; 2505_14174; 2510_18165; 2602_07670; 2602_17684; ieee_Morte2025efficient
3k,Multi-Agent Orchestration,RQ3,8,2312_13010; 2501_18653; 2504_03723; 2601_21469; 2602_02597; 2602_17100; arxiv_2404_02183; arxiv_2505_02133
3l,Code-Specific Optimization,RQ3,8,2404_16333; 2502_17139; 2508_13666; 2509_12159; 2512_08266; 2601_09703; Zhao2025codeswift; arxiv_2004_13651
3m,System-Level Serving,RQ3,5,2412_15441; 2503_19876; 2506_18796; 2508_03258; ss_Zhang2024llm
3n,Prompt Engineering,RQ3,6,2408_11198; 2409_16416; 2501_05899; 2505_14174; 2506_01604; 2509_09947
3o,Chain-of-Thought Optimization,RQ3,5,2504_14560; 2509_14093; 2509_25243; 2512_14048; arxiv_2312_05562
4a,Benchmark Design,RQ4,2,doi_10_1109_TSE_2023_3267446; doi_10_48550_arXiv_2402_07844
4b,Empirical Study,RQ4,19,2308_10462; 2401_00788; 2410_14766; 2412_15441; 2501_05899; 2503_07103; 2506_01604; 2508_13666; 2509_09947; 2602_05712; 2602_21800; Giagnorio2025quantizing; arxiv_2304_05216; arxiv_2408_06450; arxiv_2505_02133; arxiv_2505_14200; arxiv_2506_22776; arxiv_2508_08332; doi_10_1109_ASE56229_2023_00125
