ID,Key,Title,Year,Venue,Venue Type,Source,RQ,Primary Categories,Secondary Categories,QA Total
S001,arxiv_2004_13651,Fast and Memory-Efficient Neural Code Completion,2020,IEEE Working Conference on Mining Software Repositories,conference,snowball-backward,RQ3,3b-EarlyExit; 3l-CodeSpecific,,3
S002,2204_09877,Non-autoregressive Model for Full-line Code Completion,2022,arXiv preprint,preprint,database,RQ3,3c-NAR,,3
S003,2303_05378,Greener yet Powerful: Taming Large Code Generation Models with Quantization,2023,arXiv preprint,preprint,database,RQ3,3g-PTQ,,3
S004,2303_07457,AMOM: Adaptive Masking over Masking for Conditional Masked Language Model,2023,AAAI,conference,database,RQ3,3c-NAR,,3.5
S005,2305_11860,Let's Sample Step by Step: Adaptive-Consistency for Efficient Reasoning and Coding with LLMs,2023,EMNLP,conference,database,RQ3,3j-Sampling,,3.5
S006,2308_10462,Exploring Parameter-Efficient Fine-Tuning Techniques for Code Generation with Large Language Models,2023,ACM Trans. Softw. Eng. Methodol.,journal,database,RQ2; RQ4,2b-PEFT; 4b-EmpiricalStudy,,3.5
S007,2309_14021,LORD: Low Rank Decomposition Of Monolingual Code LLMs For One-Shot Compression,2023,arXiv preprint,preprint,database,RQ3,3h-ModelPruning,,3
S008,2310_18628,Personalised Distillation: Empowering Open-Sourced LLMs with Adaptive Learning for Code Generation,2023,arXiv preprint,preprint,database,RQ2,2c-Distillation,,3
S009,2312_02418,Decoding Data Quality via Synthetic Corruptions: Embedding-guided Pruning of Code Data,2023,arXiv preprint,preprint,database,RQ1,1b-DataQuality; 1a-DataSelection,,3
S010,2312_08583,ZeroQuant(4+2): Redefining LLMs Quantization with a New FP6-Centric Strategy for Diverse Generative Tasks,2023,arXiv preprint,preprint,database,RQ3,3g-PTQ,,3
S011,2312_11511,ComplexityNet: Increasing LLM Inference Efficiency by Learning Task Complexity,2023,arXiv preprint,preprint,database,RQ3,3i-Routing,,3
S012,2312_13010,AgentCoder: Multi-Agent-based Code Generation with Iterative Testing and Optimisation,2023,arXiv preprint,preprint,database,RQ3,3k-MultiAgent,,3.5
S013,arxiv_2304_05216,Towards Efficient Fine-Tuning of Pre-trained Code Models: An Experimental Study and Beyond,2023,International Symposium on Software Testing and Analysis,conference,snowball-backward,RQ2; RQ4,2b-PEFT; 4b-EmpiricalStudy,,3
S014,arxiv_2312_05562,Chain-of-Thought in Neural Code Generation: From and for Lightweight Language Models,2023,IEEE Transactions on Software Engineering,journal,snowball-forward,RQ2; RQ3,3o-CoTOpt; 2c-Distillation,,3.5
S015,doi_10_1109_ASE56229_2023_00125,An Empirical Study of Parameter-Efficient Fine-Tuning Methods for Pre-Trained Code Models,2023,International Conference on Automated Software Engineering,conference,snowball-backward,RQ2; RQ4,2b-PEFT; 4b-EmpiricalStudy,,3
S016,doi_10_1109_TSE_2023_3267446,MultiPL-E: A Scalable and Polyglot Approach to Benchmarking Neural Code Generation,2023,IEEE Transactions on Software Engineering,journal,snowball-backward,RQ4,4a-Benchmark,,4
S017,2306_08568,WizardCoder: Empowering Code LLMs with Evol-Instruct,2024,ICLR,conference,supplementary-rq1,RQ1,1b-DataQuality,,3
S018,2306_11644,Textbooks Are All You Need,2024,arXiv preprint,preprint,supplementary-rq1,RQ1,1a-DataSelection; 1b-DataQuality,,3
