Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Using the latest cached version of the dataset since openai/openai_humaneval couldn't be found on the Hugging Face Hub
Found the latest cached dataset configuration 'openai_humaneval' at /home/szw/.cache/huggingface/datasets/openai___openai_humaneval/openai_humaneval/0.0.0/7dce6050a7d6d172f3cc5c32aa97f52fa1a2e544 (last modified on Mon Sep  7 11:02:20 2026).
[LOAD] Qwen2.5-Coder-7B-Instruct fp16 on cuda:3
`torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/339 [00:00<?, ?it/s]Loading weights:   0%|          | 1/339 [00:00<02:23,  2.35it/s]Loading weights:   1%|          | 2/339 [00:00<01:45,  3.20it/s]Loading weights:   5%|▍         | 16/339 [00:00<00:11, 27.82it/s]Loading weights:   8%|▊         | 28/339 [00:00<00:06, 44.92it/s]Loading weights:  12%|█▏        | 40/339 [00:01<00:05, 50.68it/s]Loading weights:  15%|█▌        | 52/339 [00:01<00:04, 62.16it/s]Loading weights:  19%|█▉        | 64/339 [00:01<00:04, 66.36it/s]Loading weights:  22%|██▏       | 74/339 [00:01<00:03, 72.10it/s]Loading weights:  24%|██▍       | 82/339 [00:01<00:04, 62.82it/s]Loading weights:  26%|██▋       | 89/339 [00:01<00:04, 59.83it/s]Loading weights:  29%|██▉       | 100/339 [00:02<00:04, 54.41it/s]Loading weights:  33%|███▎      | 112/339 [00:02<00:03, 57.54it/s]Loading weights:  37%|███▋      | 124/339 [00:02<00:03, 63.46it/s]Loading weights:  39%|███▉      | 132/339 [00:02<00:03, 62.55it/s]Loading weights:  41%|████      | 139/339 [00:02<00:04, 46.55it/s]Loading weights:  44%|████▎     | 148/339 [00:03<00:04, 44.02it/s]Loading weights:  47%|████▋     | 161/339 [00:03<00:03, 56.25it/s]Loading weights:  51%|█████     | 172/339 [00:03<00:03, 51.26it/s]Loading weights:  54%|█████▍    | 184/339 [00:03<00:02, 59.61it/s]Loading weights:  56%|█████▋    | 191/339 [00:03<00:02, 54.15it/s]Loading weights:  58%|█████▊    | 197/339 [00:04<00:03, 36.74it/s]Loading weights:  62%|██████▏   | 210/339 [00:04<00:02, 48.89it/s]Loading weights:  65%|██████▍   | 220/339 [00:04<00:02, 45.21it/s]Loading weights:  68%|██████▊   | 232/339 [00:04<00:02, 45.46it/s]Loading weights:  72%|███████▏  | 244/339 [00:04<00:01, 52.25it/s]Loading weights:  76%|███████▌  | 257/339 [00:05<00:01, 62.56it/s]Loading weights:  79%|███████▉  | 268/339 [00:05<00:01, 60.82it/s]Loading weights:  83%|████████▎ | 280/339 [00:05<00:00, 63.01it/s]Loading weights:  86%|████████▋ | 293/339 [00:05<00:00, 73.24it/s]Loading weights:  90%|████████▉ | 304/339 [00:05<00:00, 76.18it/s]Loading weights:  92%|█████████▏| 313/339 [00:05<00:00, 78.58it/s]Loading weights:  95%|█████████▍| 322/339 [00:05<00:00, 66.87it/s]Loading weights:  97%|█████████▋| 330/339 [00:06<00:00, 59.79it/s]Loading weights: 100%|██████████| 339/339 [00:06<00:00, 55.16it/s]
[LOAD] done in 9s
[LOAD] draft Qwen2.5-Coder-0.5B-Instruct
Loading weights:   0%|          | 0/290 [00:00<?, ?it/s]Loading weights:   0%|          | 1/290 [00:00<00:45,  6.28it/s]Loading weights:  35%|███▌      | 102/290 [00:00<00:00, 479.72it/s]Loading weights:  56%|█████▌    | 162/290 [00:00<00:00, 520.62it/s]Loading weights:  76%|███████▌  | 221/290 [00:00<00:00, 512.21it/s]Loading weights: 100%|██████████| 290/290 [00:00<00:00, 508.47it/s]
[RUN] C04 Qwen2.5-Coder-7B-Instruct/fp16/speculative/greedy remaining=164
The following generation flags are not valid and may be ignored: ['temperature', 'top_p', 'top_k']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
Passing `generation_config` together with generation-related arguments=({'min_new_tokens', 'max_new_tokens', 'use_cache'}) is deprecated and will be removed in future versions. Please pass either a `generation_config` object OR all generation parameters explicitly, but not both.
The attention mask is not set and cannot be inferred from input because pad token is same as eos token. As a consequence, you may observe unexpected behavior. Please pass your input's `attention_mask` to obtain reliable results.
A custom logits processor of type <class 'transformers.generation.logits_process.RepetitionPenaltyLogitsProcessor'> has been passed to `.generate()`, but it was also created in `.generate()`, given its parameterization. The custom <class 'transformers.generation.logits_process.RepetitionPenaltyLogitsProcessor'> will take precedence. Please check the docstring of <class 'transformers.generation.logits_process.RepetitionPenaltyLogitsProcessor'> to see related `.generate()` flags.
[WARN] NVML init failed, energy measurement disabled: No module named 'pynvml'
  [C04 1/164] HumanEval/0 4078ms 62tok n=1
  [C04 2/164] HumanEval/1 9269ms 110tok n=1
  [C04 3/164] HumanEval/2 5688ms 99tok n=1
  [C04 4/164] HumanEval/3 2386ms 52tok n=1
  [C04 5/164] HumanEval/4 21589ms 332tok n=1
  [C04 6/164] HumanEval/5 3020ms 58tok n=1
  [C04 7/164] HumanEval/6 7457ms 112tok n=1
  [C04 8/164] HumanEval/7 2144ms 43tok n=1
  [C04 9/164] HumanEval/8 3788ms 70tok n=1
  [C04 10/164] HumanEval/9 32893ms 512tok n=1
  [C04 11/164] HumanEval/10 4560ms 67tok n=1
  [C04 12/164] HumanEval/11 23881ms 512tok n=1
  [C04 13/164] HumanEval/12 4703ms 88tok n=1
  [C04 14/164] HumanEval/13 3057ms 42tok n=1
  [C04 15/164] HumanEval/14 32679ms 512tok n=1
  [C04 16/164] HumanEval/15 12886ms 209tok n=1
  [C04 17/164] HumanEval/16 14083ms 182tok n=1
  [C04 18/164] HumanEval/17 2930ms 63tok n=1
  [C04 19/164] HumanEval/18 3536ms 43tok n=1
  [C04 20/164] HumanEval/19 8051ms 115tok n=1
  [C04 21/164] HumanEval/20 20048ms 219tok n=1
  [C04 22/164] HumanEval/21 6251ms 133tok n=1
  [C04 23/164] HumanEval/22 3468ms 55tok n=1
  [C04 24/164] HumanEval/23 2081ms 25tok n=1
  [C04 25/164] HumanEval/24 21600ms 226tok n=1
  [C04 26/164] HumanEval/25 4723ms 66tok n=1
  [C04 27/164] HumanEval/26 3816ms 40tok n=1
  [C04 28/164] HumanEval/27 10122ms 154tok n=1
  [C04 29/164] HumanEval/28 2219ms 39tok n=1
  [C04 30/164] HumanEval/29 3620ms 44tok n=1
  [C04 31/164] HumanEval/30 4708ms 110tok n=1
  [C04 32/164] HumanEval/31 7501ms 159tok n=1
  [C04 33/164] HumanEval/32 10361ms 130tok n=1
  [C04 34/164] HumanEval/33 70608ms 297tok n=1
  [C04 35/164] HumanEval/34 21616ms 512tok n=1
  [C04 36/164] HumanEval/35 2900ms 72tok n=1
  [C04 37/164] HumanEval/36 15938ms 257tok n=1
  [C04 38/164] HumanEval/37 5126ms 60tok n=1
  [C04 39/164] HumanEval/38 16114ms 208tok n=1
  [C04 40/164] HumanEval/39 23640ms 285tok n=1
  [C04 41/164] HumanEval/40 19153ms 282tok n=1
  [C04 42/164] HumanEval/41 8902ms 74tok n=1
  [C04 43/164] HumanEval/42 5965ms 102tok n=1
  [C04 44/164] HumanEval/43 44160ms 435tok n=1
  [C04 45/164] HumanEval/44 4226ms 89tok n=1
  [C04 46/164] HumanEval/45 1473ms 42tok n=1
  [C04 47/164] HumanEval/46 17325ms 251tok n=1
  [C04 48/164] HumanEval/47 7249ms 140tok n=1
  [C04 49/164] HumanEval/48 2307ms 28tok n=1
  [C04 50/164] HumanEval/49 1572ms 30tok n=1
  [C04 51/164] HumanEval/50 10515ms 186tok n=1
  [C04 52/164] HumanEval/51 7208ms 108tok n=1
  [C04 53/164] HumanEval/52 12416ms 178tok n=1
  [C04 54/164] HumanEval/53 19764ms 310tok n=1
  [C04 55/164] HumanEval/54 11155ms 165tok n=1
  [C04 56/164] HumanEval/55 3283ms 86tok n=1
  [C04 57/164] HumanEval/56 9421ms 122tok n=1
  [C04 58/164] HumanEval/57 16014ms 68tok n=1
  [C04 59/164] HumanEval/58 14108ms 185tok n=1
  [C04 60/164] HumanEval/59 18218ms 256tok n=1
  [C04 61/164] HumanEval/60 9546ms 200tok n=1
  [C04 62/164] HumanEval/61 9534ms 117tok n=1
  [C04 63/164] HumanEval/62 4698ms 61tok n=1
  [C04 64/164] HumanEval/63 12671ms 215tok n=1
  [C04 65/164] HumanEval/64 7943ms 123tok n=1
  [C04 66/164] HumanEval/65 46805ms 192tok n=1
  [C04 67/164] HumanEval/66 6626ms 121tok n=1
  [C04 68/164] HumanEval/67 17651ms 206tok n=1
  [C04 69/164] HumanEval/68 4658ms 77tok n=1
  [C04 70/164] HumanEval/69 27843ms 140tok n=1
  [C04 71/164] HumanEval/70 19969ms 336tok n=1
  [C04 72/164] HumanEval/71 12588ms 163tok n=1
  [C04 73/164] HumanEval/72 1266ms 14tok n=1
  [C04 74/164] HumanEval/73 17995ms 142tok n=1
  [C04 75/164] HumanEval/74 9953ms 141tok n=1
  [C04 76/164] HumanEval/75 8898ms 192tok n=1
  [C04 77/164] HumanEval/76 5649ms 86tok n=1
  [C04 78/164] HumanEval/77 7756ms 96tok n=1
  [C04 79/164] HumanEval/78 5931ms 164tok n=1
  [C04 80/164] HumanEval/79 12845ms 241tok n=1
  [C04 81/164] HumanEval/80 4162ms 98tok n=1
  [C04 82/164] HumanEval/81 12473ms 335tok n=1
  [C04 83/164] HumanEval/82 15570ms 167tok n=1
  [C04 84/164] HumanEval/83 8083ms 152tok n=1
  [C04 85/164] HumanEval/84 18636ms 252tok n=1
  [C04 86/164] HumanEval/85 4815ms 98tok n=1
  [C04 87/164] HumanEval/86 13432ms 125tok n=1
  [C04 88/164] HumanEval/87 17991ms 185tok n=1
  [C04 89/164] HumanEval/88 14855ms 229tok n=1
  [C04 90/164] HumanEval/89 8062ms 148tok n=1
  [C04 91/164] HumanEval/90 3698ms 59tok n=1
  [C04 92/164] HumanEval/91 14724ms 233tok n=1
  [C04 93/164] HumanEval/92 4274ms 34tok n=1
  [C04 94/164] HumanEval/93 12969ms 209tok n=1
  [C04 95/164] HumanEval/94 15781ms 391tok n=1
  [C04 96/164] HumanEval/95 25524ms 301tok n=1
  [C04 97/164] HumanEval/96 8638ms 228tok n=1
  [C04 98/164] HumanEval/97 22602ms 240tok n=1
  [C04 99/164] HumanEval/98 24838ms 297tok n=1
  [C04 100/164] HumanEval/99 20291ms 277tok n=1
  [C04 101/164] HumanEval/100 13742ms 208tok n=1
  [C04 102/164] HumanEval/101 12865ms 172tok n=1
  [C04 103/164] HumanEval/102 11152ms 132tok n=1
  [C04 104/164] HumanEval/103 8755ms 124tok n=1
  [C04 105/164] HumanEval/104 8874ms 119tok n=1
  [C04 106/164] HumanEval/105 20559ms 330tok n=1
  [C04 107/164] HumanEval/106 5220ms 138tok n=1
  [C04 108/164] HumanEval/107 8261ms 177tok n=1
  [C04 109/164] HumanEval/108 14289ms 223tok n=1
  [C04 110/164] HumanEval/109 15600ms 167tok n=1
  [C04 111/164] HumanEval/110 15512ms 81tok n=1
  [C04 112/164] HumanEval/111 31795ms 283tok n=1
  [C04 113/164] HumanEval/112 3117ms 66tok n=1
  [C04 114/164] HumanEval/113 19153ms 240tok n=1
  [C04 115/164] HumanEval/114 41656ms 332tok n=1
  [C04 116/164] HumanEval/115 7573ms 151tok n=1
  [C04 117/164] HumanEval/116 20816ms 512tok n=1
  [C04 118/164] HumanEval/117 20876ms 292tok n=1
  [C04 119/164] HumanEval/118 8476ms 137tok n=1
  [C04 120/164] HumanEval/119 14232ms 158tok n=1
  [C04 121/164] HumanEval/120 1495ms 34tok n=1
  [C04 122/164] HumanEval/121 9178ms 78tok n=1
  [C04 123/164] HumanEval/122 6247ms 79tok n=1
  [C04 124/164] HumanEval/123 21433ms 257tok n=1
  [C04 125/164] HumanEval/124 32162ms 393tok n=1
  [C04 126/164] HumanEval/125 14171ms 167tok n=1
  [C04 127/164] HumanEval/126 59891ms 387tok n=1
  [C04 128/164] HumanEval/127 9637ms 197tok n=1
  [C04 129/164] HumanEval/128 17506ms 145tok n=1
  [C04 130/164] HumanEval/129 5025ms 84tok n=1
  [C04 131/164] HumanEval/130 19215ms 63tok n=1
  [C04 132/164] HumanEval/131 8012ms 104tok n=1
  [C04 133/164] HumanEval/132 11781ms 134tok n=1
  [C04 134/164] HumanEval/133 8424ms 129tok n=1
  [C04 135/164] HumanEval/134 34752ms 172tok n=1
  [C04 136/164] HumanEval/135 5586ms 81tok n=1
  [C04 137/164] HumanEval/136 37722ms 231tok n=1
  [C04 138/164] HumanEval/137 12246ms 264tok n=1
  [C04 139/164] HumanEval/138 12412ms 118tok n=1
  [C04 140/164] HumanEval/139 13537ms 180tok n=1
  [C04 141/164] HumanEval/140 22462ms 266tok n=1
  [C04 142/164] HumanEval/141 4947ms 54tok n=1
  [C04 143/164] HumanEval/142 11758ms 133tok n=1
  [C04 144/164] HumanEval/143 7201ms 132tok n=1
  [C04 145/164] HumanEval/144 9979ms 156tok n=1
  [C04 146/164] HumanEval/145 1518ms 27tok n=1
  [C04 147/164] HumanEval/146 11261ms 132tok n=1
  [C04 148/164] HumanEval/147 9914ms 30tok n=1
  [C04 149/164] HumanEval/148 11676ms 177tok n=1
  [C04 150/164] HumanEval/149 13531ms 125tok n=1
  [C04 151/164] HumanEval/150 7473ms 101tok n=1
  [C04 152/164] HumanEval/151 23951ms 253tok n=1
  [C04 153/164] HumanEval/152 5690ms 110tok n=1
  [C04 154/164] HumanEval/153 27878ms 281tok n=1
  [C04 155/164] HumanEval/154 8246ms 131tok n=1
  [C04 156/164] HumanEval/155 21672ms 283tok n=1
  [C04 157/164] HumanEval/156 32484ms 388tok n=1
  [C04 158/164] HumanEval/157 12805ms 107tok n=1
  [C04 159/164] HumanEval/158 7464ms 134tok n=1
  [C04 160/164] HumanEval/159 12482ms 122tok n=1
  [C04 161/164] HumanEval/160 6473ms 105tok n=1
